highway	name	@type	@id	@lat	@lon
		node	346236916	46.7122278	23.5723350
		node	346236918	46.7121214	23.5721030
		node	2500462903	46.7123049	23.5724197
		node	2500462922	46.7121625	23.5722197
		node	2500462931	46.7128241	23.5725230
		node	2500462934	46.7140946	23.5730240
		node	4934573969	46.7132875	23.5724686
		node	4934573975	46.7164439	23.5738223
		node	4934573976	46.7161570	23.5737365
		node	4934573979	46.7156348	23.5736614
		node	4934573980	46.7152817	23.5736292
		node	6584532747	46.7151708	23.5736031
		node	6584532757	46.7155059	23.5736496
		node	6584532763	46.7132296	23.5724636
		node	6584532777	46.7124027	23.5724705
		node	6584532778	46.7122684	23.5723793
		node	7558971224	46.7141742	23.5730902
service	Parcare Vila Tușa	way	374916653		
		node	3782997578	46.7170832	23.5756091
		node	3782997579	46.7172911	23.5754574
		node	3782997580	46.7174863	23.5751312
		node	3782997581	46.7175907	23.5749156
		node	3782997582	46.7175847	23.5747438
		node	7896500907	46.7175738	23.5747962
path	Broscuța Albă	way	549090148		
		node	2500462924	46.7116512	23.5719458
		node	5304246712	46.7115456	23.5715484
		node	5304246713	46.7090194	23.5717249
		node	5304246714	46.7051109	23.5709009
		node	5304246715	46.7100024	23.5711411
		node	5304246716	46.7108291	23.5709229
		node	5304246717	46.7112332	23.5712222
		node	5304246718	46.7112425	23.5715059
		node	5304246719	46.7114399	23.5714468
		node	5304246720	46.7106729	23.5710119
		node	5304261921	46.7104846	23.5710028
		node	5304261922	46.7102756	23.5710988
		node	5304261923	46.7098461	23.5713058
		node	5304261924	46.7094603	23.5714283
		node	5304261925	46.7075657	23.5708642
		node	5304261926	46.7084027	23.5710200
		node	5304261927	46.7086514	23.5716135
		node	5304261928	46.7088813	23.5716156
		node	5304261929	46.7078097	23.5710693
		node	5304261930	46.7080098	23.5710112
		node	5304261931	46.7065449	23.5710767
		node	5304261932	46.7069359	23.5712049
		node	5304261933	46.7072646	23.5708805
		node	5304261934	46.7067037	23.5712212
		node	5304261935	46.7058922	23.5711160
		node	5304261936	46.7061543	23.5711834
		node	5304261937	46.7056531	23.5711625
		node	5304261938	46.7053085	23.5708844
residential	Strada Cerbului	way	701131757		
		node	2500462929	46.7107005	23.5735701
		node	2500462930	46.7112027	23.5738733
secondary	Strada Făgetului	way	846373533		
		node	346236899	46.7171635	23.5749829
		node	3782997576	46.7170242	23.5750519
		node	3782997582	46.7175847	23.5747438
residential	Strada Cerbului	way	242578418		
		node	2500462922	46.7121625	23.5722197
		node	2500462923	46.7118736	23.5721201
		node	2500462924	46.7116512	23.5719458
		node	2500462925	46.7114993	23.5720449
		node	2500462926	46.7111185	23.5726142
		node	2500462927	46.7109986	23.5728205
		node	6584532779	46.7115686	23.5719762
		node	6584532780	46.7120167	23.5722349
		node	6584532781	46.7121144	23.5722306
service	Strada Frăguței	way	242578421		
		node	2500462934	46.7140946	23.5730240
		node	2500462935	46.7142793	23.5725426
		node	2500462936	46.7143033	23.5722646
